44.227.242.95 - - [01/Apr/2021:00:11:57 -0700] "GET / HTTP/1.1" 301 169 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"
157.55.39.125 - - [01/Apr/2021:00:31:45 -0700] "GET /contact HTTP/1.1" 301 169 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
54.36.149.37 - - [01/Apr/2021:00:32:19 -0700] "GET /robots.txt HTTP/1.1" 301 169 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
54.36.149.8 - - [01/Apr/2021:00:32:21 -0700] "GET / HTTP/1.1" 301 169 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
60.248.99.121 - - [01/Apr/2021:00:36:05 -0700] "GET /manager/html HTTP/1.1" 404 125 "-" "Mozilla/5.0 Gecko/20100101"
89.248.165.163 - - [01/Apr/2021:01:29:24 -0700] "GET / HTTP/1.1" 404 153 "-" "libwww-perl/6.52"
180.252.54.190 - - [01/Apr/2021:01:30:39 -0700] "GET /.env HTTP/1.1" 404 188 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
180.252.54.190 - - [01/Apr/2021:01:30:39 -0700] "GET /vendor/.env HTTP/1.1" 404 188 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
180.252.54.190 - - [01/Apr/2021:01:30:39 -0700] "GET /storage/.env HTTP/1.1" 404 188 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
180.252.54.190 - - [01/Apr/2021:01:30:40 -0700] "GET /public/.env HTTP/1.1" 404 188 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
180.252.54.190 - - [01/Apr/2021:01:30:40 -0700] "POST / HTTP/1.1" 404 188 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
143.198.61.83 - - [01/Apr/2021:01:35:18 -0700] "HEAD / HTTP/1.0" 301 0 "-" "-"
143.198.61.83 - - [01/Apr/2021:01:35:18 -0700] "GET /system_api.php HTTP/1.1" 404 188 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36"
143.198.61.83 - - [01/Apr/2021:01:35:18 -0700] "GET /system_api.php HTTP/1.1" 404 188 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36"
143.198.61.83 - - [01/Apr/2021:01:35:19 -0700] "GET /c/version.js HTTP/1.1" 404 188 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36"
143.198.61.83 - - [01/Apr/2021:01:35:19 -0700] "GET /streaming/clients_live.php HTTP/1.1" 404 188 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36"
143.198.61.83 - - [01/Apr/2021:01:35:19 -0700] "GET /stalker_portal/c/version.js HTTP/1.1" 404 188 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36"
143.198.61.83 - - [01/Apr/2021:01:35:20 -0700] "GET /client_area/ HTTP/1.1" 404 188 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36"
143.198.61.83 - - [01/Apr/2021:01:35:20 -0700] "GET /stalker_portal/c/ HTTP/1.1" 404 188 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36"
143.198.61.83 - - [01/Apr/2021:01:35:20 -0700] "GET /stream/rtmp.php HTTP/1.1" 404 188 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36"
40.77.167.88 - - [01/Apr/2021:01:44:20 -0700] "GET /robots.txt HTTP/1.1" 301 169 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
40.77.167.88 - - [01/Apr/2021:01:44:20 -0700] "GET /robots.txt HTTP/1.1" 301 169 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
40.77.167.88 - - [01/Apr/2021:01:44:20 -0700] "GET /robots.txt HTTP/1.1" 301 169 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
40.77.167.88 - - [01/Apr/2021:01:44:20 -0700] "GET /robots.txt HTTP/1.1" 301 169 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
40.77.167.88 - - [01/Apr/2021:01:44:20 -0700] "GET /robots.txt HTTP/1.1" 301 169 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
40.77.167.88 - - [01/Apr/2021:01:44:21 -0700] "GET /robots.txt HTTP/1.1" 301 169 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
40.77.167.88 - - [01/Apr/2021:01:44:21 -0700] "GET /robots.txt HTTP/1.1" 301 169 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
40.77.167.88 - - [01/Apr/2021:01:44:21 -0700] "GET /robots.txt HTTP/1.1" 301 169 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
40.77.167.88 - - [01/Apr/2021:01:44:21 -0700] "GET /robots.txt HTTP/1.1" 301 169 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
40.77.167.88 - - [01/Apr/2021:01:44:21 -0700] "GET /robots.txt HTTP/1.1" 301 169 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
13.66.139.6 - - [01/Apr/2021:01:44:25 -0700] "GET /texts HTTP/1.1" 301 169 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
